Sample;AMELX.pos;AMELX.neg;LAMA3.pos;LAMA3.neg;IL13RA1.pos;IL13RA1.neg;LNX2.pos;LNX2.neg;SMCHD1.pos;SMCHD1.neg;ATP11C.pos;ATP11C.neg;ITGBL1.pos;ITGBL1.neg;DSCR3.pos;DSCR3.neg;AMELY.pos;AMELY.neg;C18ORF62.pos;C18ORF62.neg;CLIC6.pos;CLIC6.neg;SRY.pos;SRY.neg;SYNJ1.pos;SYNJ.neg;RPP30.pos;RPP30.neg
05_sample;650;13335;1207;12778;573;11036;1075;10534;734;8703;314;9123;1457;13850;2134;13173;616;14312;1370;13558;1666;10929;543;12052;1788;11285;1248;11825
05_sample;597;13712;1340;12969;672;13822;1304;13190;1050;12525;545;13030;1309;12567;1937;11939;630;14392;1392;13630;1986;12757;676;14067;1856;11011;1196;11671
05_sample;671;14352;1317;13706;681;14621;1389;13913;1288;13611;635;14264;NA;NA;NA;NA;NA;NA;NA;NA;1861;12189;586;13464;2035;12286;1448;12873
06_sample;1500;12010;1532;11978;1566;13160;1641;13085;1413;11806;1354;11865;1635;13096;2312;12419;0;13156;1537;11619;2468;12344;0;14812;2285;12038;1591;12732
06_sample;1595;13431;1666;13360;1615;14041;1730;13926;1775;14154;1677;14252;1543;12259;2245;11557;0;13281;1466;11815;2413;11969;0;14382;2380;12703;1669;13414
06_sample;1536;12493;1659;12370;1657;12987;1609;13035;1431;11604;1413;11622;NA;NA;NA;NA;0;14252;1645;12607;2458;12282;0;14740;2254;12051;1614;12691
09_sample;NA;NA;NA;NA;NA;NA;NA;NA;1492;12793;2383;11902;1673;12013;1379;12307;0;12841;1453;11388;1463;13121;0;14584;1539;12807;1585;12761
09_sample;633;11937;1187;11383;2247;11130;1335;12042;1352;11499;2157;10694;1799;12581;1592;12788;0;15563;1761;13802;1508;13539;0;15047;1582;13507;1703;13386
09_sample;771;14035;1547;13259;2274;11520;1479;12315;1267;11324;2030;10561;1551;11421;1322;11650;0;14380;1660;12720;NA;NA;NA;NA;1542;13080;1658;12964
10_sample;598;12011;1702;10907;1257;13169;2025;12401;2703;12742;1073;14372;2459;12150;1898;12711;0;13343;2467;10876;1674;11700;0;13374;2102;11703;1884;11921
10_sample;NA;NA;NA;NA;1374;13002;2087;12289;2396;11714;975;13135;2529;12803;2036;13296;0;13062;2125;10937;1864;12383;0;14247;2355;12485;2010;12830
10_sample;759;14347;2117;12989;1355;13422;2190;12587;2312;10764;961;12115;2407;11921;1877;12451;1;14989;2747;12243;1755;11968;0;13723;2069;11392;1829;11632
13_sample;474;10446;1676;9244;726;13339;1629;12436;1653;10835;488;12000;1596;12146;1487;12255;721;13609;2254;12076;1483;12202;804;12881;1342;11095;2197;10240
13_sample;650;13833;2297;12186;800;13377;1655;12522;1743;11473;576;12640;1651;12919;1545;13025;666;12447;2065;11048;1576;13491;903;14164;1366;11862;2329;10899
13_sample;664;13906;2332;12238;774;14448;1686;13536;1951;12517;655;13813;1537;11851;1418;11970;756;13164;2193;11727;1579;12725;892;13412;1475;12298;2389;11384
15_sample;1314;12466;2224;11556;1513;12549;1557;12505;2285;12518;1470;13333;1667;12715;1797;12585;1;14729;2371;12359;1540;12292;0;13832;1434;10975;1554;10855
15_sample;1265;11798;2108;10955;1548;12833;1509;12872;2328;12449;1444;13333;1597;12141;1569;12169;0;12892;2131;10761;1451;10711;0;12162;1560;12350;1778;12132
15_sample;1422;13934;2527;12829;1557;12756;1637;12676;2056;11081;1334;11803;1555;11801;1480;11876;0;13636;2314;11322;1559;12177;0;13736;1637;12666;1819;12484
16_sample;702;13827;1352;13177;674;12883;1318;12239;1363;13566;696;14233;1235;10838;1690;10383;611;12220;1248;11583;1939;11802;647;13094;1693;10909;1221;11381
16_sample;692;13815;1359;13148;711;14101;1439;13373;1198;12238;620;12816;1062;10129;1551;9640;613;12161;1200;11574;2045;11946;649;13342;2006;12035;1343;12698
16_sample;701;12921;1323;12299;682;14033;1511;13204;1258;13195;674;13779;1417;12173;1851;11739;585;12240;1244;11581;1739;10235;621;11353;1902;11557;1349;12110
18_sample;548;12369;1654;11263;596;13690;1218;13068;1853;13376;635;14594;1210;13147;1316;13041;398;9614;1150;8862;1073;11196;536;11733;1122;11730;1157;11695
18_sample;622;12621;1684;11559;610;11951;1100;11461;1831;13075;638;14268;1319;13620;1258;13681;577;13856;1751;12682;1255;12948;576;13627;1299;12887;1290;12896
18_sample;622;14513;1929;13206;663;14223;1364;13522;1834;12652;592;13894;1313;13582;1389;13506;506;12718;1550;11674;1215;11879;599;12495;1375;13714;1379;13710
